id,n_lines_gt,n_lines_pred,n_line_cmds_gt,n_line_cmds_pred,gt_h,gt_v,pred_h,pred_v,ratio_h_sample,ratio_v_sample,par_recall_hits,par_recall_denom,par_recall_index_aligned,perp_recall_hits,perp_recall_denom,perp_recall_index_aligned,pair_recall_extrude_count_mismatch,pair_recall_extrudes_skipped_line_mismatch,parse_ok_gt,parse_ok_pred
00324472,16,16,16,16,8,8,7,8,0.875,1.0,7,8,0.875,14,16,0.875,False,0,True,True
00324481,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00324501,4,4,4,4,2,2,1,2,0.5,1.0,1,2,0.5,0,0,,False,0,True,True
00324513,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00324525,8,7,8,7,4,4,3,4,0.75,1.0,2,2,1.0,5,5,1.0,False,1,True,True
00324538,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00324550,6,6,6,6,0,1,1,1,,1.0,0,0,,0,0,,False,0,True,True
00324553,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00324561,24,24,24,24,12,12,11,10,0.9166666666666666,0.8333333333333334,21,36,0.5833333333333334,31,48,0.6458333333333334,False,0,True,True
00324564,20,20,20,20,8,9,9,8,1.125,0.8888888888888888,29,45,0.6444444444444445,46,50,0.92,False,0,True,True
00324567,20,20,20,20,10,10,10,10,1.0,1.0,18,18,1.0,28,28,1.0,False,0,True,True
00324584,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00324607,16,16,16,16,8,8,8,8,1.0,1.0,8,8,1.0,16,16,1.0,False,0,True,True
00324608,6,5,6,5,0,6,0,5,,0.8333333333333334,1,1,1.0,0,0,,False,1,True,True
00324624,16,16,16,16,8,2,7,2,0.875,1.0,3,4,0.75,4,4,1.0,False,0,True,True
00324662,10,10,10,10,8,2,8,2,1.0,1.0,17,17,1.0,4,4,1.0,False,0,True,True
00324670,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00324673,12,12,12,12,6,6,6,6,1.0,1.0,6,6,1.0,12,12,1.0,False,0,True,True
00324681,16,16,16,16,9,7,7,5,0.7777777777777778,0.7142857142857143,31,57,0.543859649122807,58,63,0.9206349206349206,False,0,True,True
00324684,8,8,8,8,4,4,4,4,1.0,1.0,12,12,1.0,16,16,1.0,False,0,True,True
00324690,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00324694,20,20,20,20,10,10,10,9,1.0,0.9,9,10,0.9,18,20,0.9,False,0,True,True
00324700,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00324703,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00324704,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00324708,6,6,6,6,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00324715,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00324744,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00324745,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00324747,4,4,4,4,0,4,0,4,,1.0,2,2,1.0,0,0,,False,0,True,True
00324751,1,1,1,1,1,0,1,0,1.0,,0,0,,0,0,,False,0,True,True
00324752,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00324753,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00324770,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00324773,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00324779,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00324782,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00324783,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00324790,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00324791,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00324792,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00324793,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00324794,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00324803,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00324805,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00324813,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00324818,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00324824,3,3,3,3,1,2,1,2,1.0,1.0,1,1,1.0,2,2,1.0,False,0,True,True
00324839,7,7,7,7,5,2,5,2,1.0,1.0,11,11,1.0,10,10,1.0,False,0,True,True
00324840,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00324846,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00324850,6,6,6,6,3,3,3,3,1.0,1.0,6,6,1.0,9,9,1.0,False,0,True,True
00324863,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
