id,n_lines_gt,n_lines_pred,n_line_cmds_gt,n_line_cmds_pred,gt_h,gt_v,pred_h,pred_v,ratio_h_sample,ratio_v_sample,par_recall_hits,par_recall_denom,par_recall_index_aligned,perp_recall_hits,perp_recall_denom,perp_recall_index_aligned,pair_recall_extrude_count_mismatch,pair_recall_extrudes_skipped_line_mismatch,parse_ok_gt,parse_ok_pred
00577856,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00578017,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00578049,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00578202,6,6,6,6,2,2,2,4,1.0,2.0,2,2,1.0,4,4,1.0,False,0,True,True
00578215,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00578255,6,6,6,6,4,2,4,2,1.0,1.0,3,3,1.0,4,4,1.0,False,0,True,True
00578652,25,0,25,24,9,15,0,0,0.0,0.0,0,0,,0,0,,False,0,True,False
00578683,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00578962,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00578995,12,12,12,12,4,6,4,5,1.0,0.8333333333333334,4,7,0.5714285714285714,8,10,0.8,False,0,True,True
00579011,8,8,8,8,4,4,4,4,1.0,1.0,12,12,1.0,16,16,1.0,False,0,True,True
00579141,6,6,6,6,2,0,2,0,1.0,,3,3,1.0,0,0,,False,0,True,True
00579235,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00579385,4,4,4,4,2,2,2,2,1.0,1.0,1,1,1.0,2,2,1.0,False,0,True,True
00579399,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00579419,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00579427,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00579595,6,6,6,6,1,2,1,2,1.0,1.0,1,1,1.0,2,2,1.0,False,0,True,True
00579708,10,10,10,10,5,5,5,5,1.0,1.0,20,20,1.0,25,25,1.0,False,0,True,True
00579754,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00579878,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00579936,8,8,8,8,4,4,4,4,1.0,1.0,4,4,1.0,8,8,1.0,False,0,True,True
00579971,7,7,7,7,3,2,4,2,1.3333333333333333,1.0,4,5,0.8,6,6,1.0,False,0,True,True
00579999,10,10,10,10,4,4,4,4,1.0,1.0,4,5,0.8,8,8,1.0,False,0,True,True
00580046,20,20,20,20,12,8,12,8,1.0,1.0,18,18,1.0,24,24,1.0,False,0,True,True
00580061,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00580101,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00580121,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00580361,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00580414,8,8,8,8,3,3,3,3,1.0,1.0,2,2,1.0,5,5,1.0,False,0,True,True
00580428,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00580450,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00580477,12,12,12,12,6,6,6,6,1.0,1.0,6,6,1.0,12,12,1.0,False,0,True,True
00580490,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00580549,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00580554,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00580667,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00580674,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00580863,12,13,12,12,6,6,4,4,0.6666666666666666,0.6666666666666666,2,2,1.0,4,4,1.0,False,1,True,True
00581196,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00581547,4,4,4,4,0,2,0,2,,1.0,1,1,1.0,1,1,1.0,False,0,True,True
00581916,12,13,12,12,4,4,4,3,1.0,0.75,0,0,,0,0,,False,1,True,True
00582110,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00582671,15,15,15,15,9,6,9,6,1.0,1.0,12,12,1.0,18,18,1.0,False,0,True,True
00582713,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00582892,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00582954,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00583010,12,12,12,12,8,4,8,4,1.0,1.0,34,34,1.0,32,32,1.0,False,0,True,True
00583114,6,6,6,6,3,3,1,1,0.3333333333333333,0.3333333333333333,0,6,0.0,7,9,0.7777777777777778,False,0,True,True
00583124,10,10,10,10,5,5,5,5,1.0,1.0,20,20,1.0,25,25,1.0,False,0,True,True
00583235,20,21,20,21,12,6,12,6,1.0,1.0,1,1,1.0,2,2,1.0,True,2,True,True
00583433,6,6,6,6,2,2,2,2,1.0,1.0,1,1,1.0,0,0,,False,0,True,True
00583635,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00583695,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00583767,11,11,11,11,5,5,5,2,1.0,0.4,5,20,0.25,16,25,0.64,False,0,True,True
00583841,12,12,12,12,6,6,6,6,1.0,1.0,6,6,1.0,12,12,1.0,False,0,True,True
00583856,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00583958,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00584071,14,14,14,14,2,0,2,1,1.0,,0,0,,0,0,,False,0,True,True
00584135,10,11,10,10,4,4,3,3,0.75,0.75,0,4,0.0,7,11,0.6363636363636364,False,1,True,True
00584194,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00584247,24,23,24,23,12,12,3,10,0.25,0.8333333333333334,0,0,,0,0,,True,1,True,True
00584491,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00584577,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00584845,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00585174,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00585252,8,8,8,8,4,4,3,3,0.75,0.75,6,12,0.5,13,16,0.8125,False,0,True,True
00585487,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00585501,6,6,6,6,3,3,3,3,1.0,1.0,6,6,1.0,9,9,1.0,False,0,True,True
00585755,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00585759,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00585892,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00585924,8,8,8,8,4,4,4,4,1.0,1.0,4,4,1.0,8,8,1.0,False,0,True,True
00586154,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00586508,12,14,12,13,7,3,5,2,0.7142857142857143,0.6666666666666666,0,0,,0,0,,False,3,True,True
00586597,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00586724,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00587049,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00587101,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00588315,6,6,6,6,4,2,4,2,1.0,1.0,7,7,1.0,8,8,1.0,False,0,True,True
00588478,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00588496,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00588820,20,21,20,21,8,12,7,11,0.875,0.9166666666666666,6,7,0.8571428571428571,13,14,0.9285714285714286,False,1,True,True
